temperature,humidity,tvoc,eco2,pm2.5,mq4,mq7,mq135,air_quality
17.2,42.23,0,0,72.3,10378,7303,832,0
17.2,42.31,0,0,75.66,10506,7367,832,0
17.22,42.2,0,0,71.46,10570,7431,832,0
17.24,42.13,0,0,68.11,10570,7431,832,0
17.22,42.2,0,0,65.92,10570,7431,832,0
17.78,100.0,0,0,66.59,10634,7431,832,0
17.58,100.0,0,0,62.06,10634,7495,896,0
17.51,100.0,0,0,61.55,10634,7431,896,0
17.5,84.41,0,0,64.58,10634,7431,896,0
17.45,70.9,0,0,64.91,10634,7431,896,0
17.47,65.84,0,0,63.74,10634,7431,832,0
17.45,65.22,0,0,66.43,10634,7431,832,0
17.44,61.7,0,0,65.59,10570,7431,832,0
17.41,58.61,0,0,63.4,10570,7431,832,0
17.41,56.39,0,0,65.08,10570,7431,832,0
17.39,55.21,0,0,63.74,10570,7431,832,0
17.37,54.27,0,0,62.9,10570,7431,832,0
17.4,52.79,0,0,68.78,10570,7431,832,0
17.36,52.98,0,0,70.46,10570,7431,832,0
17.39,53.43,0,0,72.14,10570,7431,832,0
17.4,54.91,0,0,68.78,10570,7431,832,0
17.37,54.42,0,0,67.1,10570,7431,832,0
17.36,52.63,0,0,62.23,10570,7431,832,0
17.37,52.16,0,0,59.04,10570,7431,832,0
17.37,50.29,0,0,57.36,10570,7431,832,0
17.35,48.95,0,0,62.23,10570,7431,832,0
17.34,48.25,0,0,64.07,10570,7431,832,0
17.34,47.65,0,0,66.26,10570,7431,832,0
17.34,47.28,0,0,67.1,10570,7431,832,0
16.98,40.47,0,0,72.3,10250,7367,1153,0
16.99,40.52,0,0,70.21,10314,7367,1153,0
17.57,100.0,0,0,67.83,10378,7431,1217,0
17.41,100.0,0,0,64.33,10378,7431,1217,0
17.39,100.0,0,0,65.42,10442,7431,1153,0
17.35,84.91,0,0,67.27,10314,7367,1153,0
17.34,73.47,0,0,66.93,10378,7367,1153,0
17.28,66.17,0,0,66.59,10378,7367,1153,0
17.21,57.88,0,0,69.28,10314,7367,1153,0
17.2,55.34,0,0,69.62,10314,7367,1153,0
17.2,53.81,0,0,65.75,10314,7367,1153,0
17.2,51.9,0,0,66.76,10314,7367,1153,0
17.12,41.68,0,0,67.27,12300,9289,1153,0
17.11,41.64,0,0,65.17,12812,8712,1089,0
17.71,100.0,0,0,67.27,12684,9032,1153,0
17.51,100.0,0,0,68.74,13132,8840,1153,0
17.48,100.0,0,0,68.78,12492,8904,1153,0
17.44,84.43,0,0,65.92,12300,9160,1153,0
17.41,77.75,0,0,66.93,12492,8456,1153,0
17.37,65.82,0,0,64.24,13196,8648,1153,0
17.35,63.35,0,0,64.91,12620,8456,1153,0
17.71,100.0,0,0,63.07,13132,8712,1153,0
17.64,100.0,0,0,66.09,13068,8968,1153,0
17.62,100.0,0,0,64.41,12364,8520,1153,0
17.23,43.84,0,0,81.54,13517,9417,1153,0
17.22,43.95,0,0,71.88,13517,9481,1153,0
17.25,43.5,0,0,57.19,12492,9353,1153,0
17.29,43.45,0,0,54.25,13132,9481,1153,0
17.27,42.89,0,0,52.99,12684,9032,1089,0
17.31,42.84,0,0,64.33,12556,9417,1153,0
16.93,42.53,0,0,69.79,12428,8712,1089,0
16.93,47.56,0,0,67.69,12940,9545,1089,0
17.04,42.19,0,0,85.74,11146,7431,1217,0
17.05,42.21,0,0,68.11,11339,7559,1217,0
17.09,42.14,0,0,61.39,10890,7303,1217,0
17.07,42.13,0,0,63.91,11018,7495,1217,0
16.95,41.92,0,0,65.59,11659,8392,1153,0
16.94,41.92,0,0,66.85,12556,8840,1153,0
16.9,41.87,0,0,73.98,11787,8840,1153,0
16.91,42.03,0,0,72.72,12171,8392,1153,0
17.13,41.06,0,0,70.62,13004,8904,1153,0
17.11,41.05,0,0,69.79,12684,9160,1153,0
17.1,41.25,0,0,71.46,12428,8584,1153,0
17.12,41.34,0,400,58.87,13325,8520,1153,1
17.38,41.08,0,0,58.87,11210,7303,1217,0
17.35,41.07,0,0,60.13,11403,7623,1217,0
17.31,40.92,0,0,75.66,10698,7303,1217,0
17.32,40.96,0,0,62.23,10826,7431,1217,0
17.33,40.83,0,0,63.07,10442,7175,1217,0
17.36,40.9,0,0,65.59,10698,7431,1217,0
17.27,40.52,0,0,62.23,10250,7431,1217,0
17.25,40.55,0,0,61.81,10314,7367,1217,0
17.34,40.52,0,0,66.43,10121,7239,1217,0
17.36,40.57,0,0,57.19,10121,7239,1153,0
17.26,40.55,0,0,69.79,10250,7367,1217,0
17.31,40.76,0,0,59.29,10314,7367,1217,0
17.3,40.6,0,0,69.79,11915,8456,1345,0
17.29,40.67,0,0,72.72,12107,8712,1345,0
