tvoc,eco2,pm2.5,mq4,mq7,mq135,air_quality,smell_level
39,434,58.03,35746,26457,3843,1,2
51,460,63.49,35939,26714,3843,1,2
43,443,65.31,36003,26842,3843,1,2
35,425,66.22,36003,26650,3843,1,2
47,452,65.08,36003,26714,3843,1,2
29,413,66.26,36067,26714,3843,1,2
29,413,66.43,36003,26906,3843,1,2
37,429,65.25,35939,26650,3843,1,2
40,437,62.23,35554,26585,3843,1,2
32,419,61.89,35682,26650,3843,1,2
40,435,60.71,36003,26585,3843,1,2
43,441,56.18,35875,26650,3779,1,2
43,443,55.0,36195,26714,3843,1,2
34,423,56.18,35939,26650,3779,1,2
40,437,56.35,36067,26585,3779,1,2
36,427,59.04,36067,26521,3779,1,2
41,439,60.55,35875,26521,3779,1,2
44,445,60.21,35939,26650,3779,1,2
36,428,61.05,35939,26585,3779,1,2
42,439,60.55,36131,26585,3779,1,2
45,446,58.87,37796,25560,3010,1,1
37,430,63.07,38053,25560,2946,1,1
40,436,63.91,37860,25496,2946,1,1
41,438,62.65,37796,25112,2946,1,1
31,416,60.71,37668,25304,2946,1,1
29,412,60.21,37604,25432,3010,1,1
42,440,58.53,37412,25240,2946,1,1
42,440,55.0,37412,25368,3010,1,1
33,421,56.01,37668,25432,3010,1,1
39,434,58.03,37732,25560,2946,1,1
37,430,61.39,37732,25432,3010,1,1
35,426,63.74,37732,25368,3010,1,1
34,423,67.94,37732,25368,3010,1,1
34,423,65.75,37604,25368,3010,1,1
39,435,65.75,37412,25240,3010,1,1
36,427,61.05,37925,25432,3010,1,1
38,433,61.72,37668,25368,3010,1,1
31,417,60.55,37476,25176,3010,1,1
45,446,64.24,37156,25112,3010,1,1
34,422,63.07,37220,25176,2946,1,1
33,421,76.5,34978,23703,2818,1,1
18,400,71.46,35170,23895,2818,1,1
38,431,65.59,35170,23959,2818,1,1
42,440,64.12,35106,23831,2818,1,1
35,425,63.4,35042,23767,2818,1,1
35,425,62.39,35042,23703,2818,1,1
29,413,62.06,34978,23703,2818,1,1
41,437,63.4,34914,23639,2818,1,1
48,453,63.4,34337,23639,2818,1,1
40,436,66.43,34721,23446,2754,1,1
40,436,63.91,34785,23510,2754,1,1
44,445,62.9,34593,23318,2754,1,1
34,423,62.9,34273,23062,2754,1,1
47,450,62.73,34785,23510,2690,1,1
26,405,60.71,34529,23254,2754,1,1
40,436,62.23,34401,23190,2754,1,1
37,429,63.4,34593,23318,2754,1,1
36,428,66.76,33825,22742,2690,1,1
45,447,72.14,34657,23382,2690,1,1
38,432,72.81,33889,22806,2754,1,1
28,409,103.38,32800,19603,5893,1,0
29,412,88.26,32351,19731,5957,1,0
27,407,85.18,32607,19603,5957,1,0
45,447,81.54,32735,19475,5957,1,0
28,411,81.88,32671,19410,5765,1,0
35,425,76.0,32607,19154,5829,1,0
43,443,73.14,32735,19667,5893,1,0
48,452,69.95,32928,19603,5957,1,0
40,437,68.27,32928,19603,5957,1,0
47,450,64.58,32735,19475,5893,1,0
37,430,63.74,32864,19539,5893,1,0
50,457,68.61,32671,19410,5893,1,0
39,434,69.95,31134,17809,5765,1,0
30,414,71.3,32607,19218,5893,1,0
41,437,75.33,32735,19475,5893,1,0
32,419,78.52,32287,19475,5893,1,0
38,433,77.68,32735,19410,5893,1,0
27,407,77.68,32543,19410,5893,1,0
37,429,74.49,32479,19410,5893,1,0
44,445,65.75,32479,19218,5829,1,0
36,428,53.83,35490,27034,5125,1,1
31,416,52.15,35746,26970,5125,1,1
29,412,57.19,35554,26778,5125,1,1
27,407,57.4,35426,26585,5060,1,1
36,428,60.04,35362,26521,5060,1,1
31,417,60.71,35490,26265,5060,1,1
35,426,63.57,35362,26329,5060,1,1
28,410,62.06,35298,26137,5060,1,1
38,431,62.9,35234,26073,5060,1,1
35,426,63.74,35106,25881,4996,1,1
48,453,66.76,35106,25753,4996,1,1
34,422,65.25,35234,25753,4996,1,1
44,445,65.42,35298,25881,4996,1,1
36,427,66.76,35234,25753,4996,1,1
38,432,64.24,35362,25753,4996,1,1
34,423,63.4,35106,25560,4996,1,1
35,425,65.25,35106,25496,4996,1,1
51,460,65.59,35170,25496,4996,1,1
36,428,64.91,35234,25368,4932,1,1
44,445,65.59,35170,25368,4932,1,1
